Ref,Status,Location,Created,Status Changed,Project,Report Forms Status,Report Forms Group
F1.196549,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,26/02/2019,31/03/2020,1328,Closed,Quality
F1.199599,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,26/02/2019,31/03/2020,1328,Closed,Quality
F1.200429,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,05/03/2019,24/07/2019,1328,Closed,Site Management
F1.211957,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,06/03/2019,31/03/2020,1328,Closed,Quality
F1.211958,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,08/03/2019,24/07/2019,1328,Closed,Site Management
F1.212240,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,08/03/2019,24/07/2019,1328,Closed,Site Management
F1.213169,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,25/03/2019,24/07/2019,1328,Closed,Site Management
F1.213170,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,28/03/2019,28/03/2019,1328,Closed,Safety
F1.214407,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,28/03/2019,19/07/2019,1328,Closed,Safety
F1.215031,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,28/03/2019,19/07/2019,1328,Closed,Safety
F1.215358,Closed JPC Reviewed,1328 - Townsend St,01/04/2019,24/07/2019,1328,Closed,Site Management
F1.215401,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,01/04/2019,24/07/2019,1328,Closed,Site Management
F1.215780,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,01/04/2019,24/07/2019,1328,Closed,Site Management
F1.216932,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,02/04/2019,01/04/2020,1328,Closed,Quality
F1.217489,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,02/04/2019,01/04/2020,1328,Closed,Quality
F1.217492,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,02/04/2019,22/07/2019,1328,Closed,Safety
F1.218093,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,02/04/2019,24/07/2019,1328,Closed,Site Management
F1.218776,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,03/04/2019,01/04/2020,1328,Closed,Quality
F1.220166,Completed and signed off,01 Inspections>EHS Management>JPC Project Management,03/04/2019,22/07/2019,1328,Closed,Safety
F1.220167,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,04/04/2019,01/04/2020,1328,Closed,Quality
F1.220772,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,04/04/2019,24/07/2019,1328,Closed,Site Management
F1.221075,Closed JPC Reviewed,01 Daily Site Diary>Site Management>JPC Project Management,04/04/2019,24/07/2019,1328,Closed,Site Management
F1.221103,Closed JPC Sign Off,Piling>Block 3>ITP 01 Structural>QC & BC(A)R,05/04/2019,01/04/2020,1328,Closed,Quality
F1.226325,Closed,01 Inspections>EHS Management>JPC Project Management,05/04/2019,22/07/2019,1328,Closed,Safety
