Ref,Status,Location,Created,Status Changed,Priority,Cause,project,Report Status,Task Group
T1.14874516,Open,JPC Project Management>EHS Management>01 Inspections,14/09/2020,14/09/2020,Behavioural Failure,JPC - Safety - Documentation,1328,Open,Safety
T1.15800735,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 1>Block 1 - Bracken Lane Elevation,14/09/2020,14/09/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Site Management
T1.15800736,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,14/09/2020,14/09/2020,Behavioural Failure,JPC - Safety - Access,1328,Closed,Safety
T1.15800865,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 2>5th Floor Plan,14/09/2020,14/09/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Site Management
T1.15801182,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,14/09/2020,14/09/2020,Behavioural Failure,JPC - Safety - House Keeping,1328,Closed,Safety
T1.15801201,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Roof GA,14/09/2020,14/09/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Site Management
T1.15801211,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,14/09/2020,14/09/2020,Behavioural Failure,JPC - Safety - Welfare Facilities,1328,Closed,Safety
T1.15801265,Closed,QC & BC(A)R>ITP 02 Architectural & M&E Services>Block 3>Elevations>2. Courtyard (North Elevation),14/09/2020,14/09/2020,Other,JPC - Safety - House Keeping ,1328,Closed,Site Management
T1.15960219,EHS Good Observation,JPC Project Management>EHS Management>01 Inspections,14/09/2020,14/09/2020,Behavioural Failure,JPC - Safety - PPE,1328,Closed,Safety
T1.15960243,Open,JPC Project Management>EHS Management>01 Inspections,14/09/2020,14/09/2020,Behavioural Failure,JPC - Safety - Access,1328,Open,Safety
T1.16048246,Open,JPC Project Management>EHS Management>01 Inspections,14/09/2020,14/09/2020,Behavioural Failure,JPC - Safety - Storage,1328,Open,Safety
